case_id,family,phase,difficulty_id,expected_shape_count,explicit_shape_count,coordinate_vector,formula_or_assignment,trig_or_cartesian_hint,origin_axis_anchor,high_risk_flag
spiral_staircase_level_1,Spiral Staircase,1,1,11,1,0,0,0,1,1
spiral_staircase_level_2,Spiral Staircase,1,2,25,1,0,0,0,1,1
spiral_staircase_level_3,Spiral Staircase,1,3,51,1,0,0,0,1,1
cannonball_pyramid_level_1,Cannonball Pyramid,1,1,10,0,0,0,0,1,0
cannonball_pyramid_level_2,Cannonball Pyramid,1,2,20,0,0,0,0,1,0
cannonball_pyramid_level_3,Cannonball Pyramid,1,3,35,0,0,0,0,1,0
voxel_grid_level_1,Voxel Grid,1,1,8,1,0,0,0,1,1
voxel_grid_level_2,Voxel Grid,1,2,27,1,0,0,0,1,1
voxel_grid_level_3,Voxel Grid,1,3,64,1,0,0,0,1,1
domino_ring_level_1,Domino Ring,1,1,15,1,0,0,0,1,1
domino_ring_level_2,Domino Ring,1,2,30,1,0,0,0,1,1
domino_ring_level_3,Domino Ring,1,3,60,1,0,0,0,1,1
dna_helix_level_1,DNA Helix,1,1,15,1,0,0,0,1,1
dna_helix_level_2,DNA Helix,1,2,30,1,0,0,0,1,1
dna_helix_level_3,DNA Helix,1,3,60,1,0,0,0,1,1
suspension_bridge_level_1,Suspension Bridge,2,1,13,0,0,0,0,0,0
suspension_bridge_level_2,Suspension Bridge,2,2,23,0,0,0,0,0,0
suspension_bridge_level_3,Suspension Bridge,2,3,43,0,0,0,0,0,0
planetary_array_level_1,Planetary Array,2,1,7,0,1,0,0,1,1
planetary_array_level_2,Planetary Array,2,2,13,0,1,0,0,1,1
planetary_array_level_3,Planetary Array,2,3,19,0,1,0,0,1,1
cross_braced_truss_level_1,Cross-Braced Truss,2,1,24,0,0,0,0,0,0
cross_braced_truss_level_2,Cross-Braced Truss,2,2,48,0,0,0,0,0,0
cross_braced_truss_level_3,Cross-Braced Truss,2,3,96,0,0,0,0,0,0
fractal_y_tree_level_1,Fractal Y-Tree,2,1,7,0,1,0,0,0,1
fractal_y_tree_level_2,Fractal Y-Tree,2,2,15,0,1,0,0,0,1
fractal_y_tree_level_3,Fractal Y-Tree,2,3,31,0,1,0,0,0,1
bcc_lattice_level_1,BCC Lattice,2,1,99,0,1,0,0,1,1
bcc_lattice_level_2,BCC Lattice,2,2,307,0,1,0,0,1,1
bcc_lattice_level_3,BCC Lattice,2,3,701,0,1,0,0,1,1
furniture_assembly_level_1,Furniture Assembly,3,1,5,0,0,0,0,0,0
furniture_assembly_level_2,Furniture Assembly,3,2,7,0,0,0,0,0,0
furniture_assembly_level_3,Furniture Assembly,3,3,9,0,0,0,0,0,0
pipe_manifold_level_1,Pipe Manifold,3,1,12,1,0,0,0,0,1
pipe_manifold_level_2,Pipe Manifold,3,2,16,1,0,0,0,0,1
pipe_manifold_level_3,Pipe Manifold,3,3,24,1,0,0,0,0,1
axle_bearing_level_1,Axle Bearing,3,1,5,0,0,0,0,0,0
axle_bearing_level_2,Axle Bearing,3,2,5,0,0,0,0,0,0
axle_bearing_level_3,Axle Bearing,3,3,5,0,0,0,0,0,0
phyllotaxis_disc_level_1,Phyllotaxis Disc,4,1,22,0,0,0,1,1,1
