case_id,model_id,family,phase,difficulty_id,difficulty_label,output_shape_count,score_cov,score_geom,score_sem,score_global
spiral_staircase_level_1,gemini-2.5-pro,Spiral Staircase,1,1,Level 1 (Scale 10),10,91.0,18.0,27.0,37.0
spiral_staircase_level_2,gemini-2.5-pro,Spiral Staircase,1,2,Level 2 (Scale 24),24,96.0,25.0,33.0,43.0
spiral_staircase_level_3,gemini-2.5-pro,Spiral Staircase,1,3,Level 3 (Scale 50),50,98.0,32.0,33.0,46.0
cannonball_pyramid_level_1,gemini-2.5-pro,Cannonball Pyramid,1,1,Level 1 (Scale 3),10,100.0,100.0,100.0,100.0
cannonball_pyramid_level_2,gemini-2.5-pro,Cannonball Pyramid,1,2,Level 2 (Scale 4),20,100.0,100.0,100.0,100.0
cannonball_pyramid_level_3,gemini-2.5-pro,Cannonball Pyramid,1,3,Level 3 (Scale 5),35,100.0,100.0,100.0,100.0
voxel_grid_level_1,gemini-2.5-pro,Voxel Grid,1,1,Level 1 (Scale 2),8,100.0,100.0,100.0,100.0
voxel_grid_level_2,gemini-2.5-pro,Voxel Grid,1,2,Level 2 (Scale 3),27,100.0,100.0,100.0,100.0
voxel_grid_level_3,gemini-2.5-pro,Voxel Grid,1,3,Level 3 (Scale 4),64,100.0,100.0,100.0,100.0
domino_ring_level_1,gemini-2.5-pro,Domino Ring,1,1,Level 1 (Scale 5),15,100.0,100.0,100.0,100.0
domino_ring_level_2,gemini-2.5-pro,Domino Ring,1,2,Level 2 (Scale 10),30,100.0,100.0,100.0,100.0
domino_ring_level_3,gemini-2.5-pro,Domino Ring,1,3,Level 3 (Scale 20),60,100.0,68.0,84.0,82.0
dna_helix_level_1,gemini-2.5-pro,DNA Helix,1,1,Level 1 (Scale 5),15,100.0,100.0,100.0,100.0
dna_helix_level_2,gemini-2.5-pro,DNA Helix,1,2,Level 2 (Scale 10),30,100.0,100.0,100.0,100.0
dna_helix_level_3,gemini-2.5-pro,DNA Helix,1,3,Level 3 (Scale 20),60,100.0,100.0,100.0,100.0
suspension_bridge_level_1,gemini-2.5-pro,Suspension Bridge,2,1,Level 1 (Scale 5),11,85.0,84.0,79.0,82.0
suspension_bridge_level_2,gemini-2.5-pro,Suspension Bridge,2,2,Level 2 (Scale 10),23,100.0,100.0,100.0,100.0
suspension_bridge_level_3,gemini-2.5-pro,Suspension Bridge,2,3,Level 3 (Scale 20),43,100.0,100.0,100.0,100.0
planetary_array_level_1,gemini-2.5-pro,Planetary Array,2,1,Level 1 (Scale 6),7,100.0,100.0,100.0,100.0
planetary_array_level_2,gemini-2.5-pro,Planetary Array,2,2,Level 2 (Scale 12),13,100.0,100.0,100.0,100.0
planetary_array_level_3,gemini-2.5-pro,Planetary Array,2,3,Level 3 (Scale 18),19,100.0,100.0,100.0,100.0
cross_braced_truss_level_1,gemini-2.5-pro,Cross-Braced Truss,2,1,Level 1 (Scale 2),24,100.0,40.0,50.0,57.0
cross_braced_truss_level_2,gemini-2.5-pro,Cross-Braced Truss,2,2,Level 2 (Scale 4),48,100.0,100.0,100.0,100.0
cross_braced_truss_level_3,gemini-2.5-pro,Cross-Braced Truss,2,3,Level 3 (Scale 8),96,100.0,40.0,66.0,65.0
fractal_y_tree_level_1,gemini-2.5-pro,Fractal Y-Tree,2,1,Level 1 (Scale 2),7,100.0,100.0,100.0,100.0
fractal_y_tree_level_2,gemini-2.5-pro,Fractal Y-Tree,2,2,Level 2 (Scale 3),15,100.0,100.0,100.0,100.0
fractal_y_tree_level_3,gemini-2.5-pro,Fractal Y-Tree,2,3,Level 3 (Scale 4),31,100.0,95.0,100.0,98.0
bcc_lattice_level_1,gemini-2.5-pro,BCC Lattice,2,1,Level 1 (Scale 2),99,100.0,100.0,100.0,100.0
bcc_lattice_level_2,gemini-2.5-pro,BCC Lattice,2,2,Level 2 (Scale 3),307,100.0,100.0,100.0,100.0
bcc_lattice_level_3,gemini-2.5-pro,BCC Lattice,2,3,Level 3 (Scale 4),452,64.0,64.0,46.0,55.0
furniture_assembly_level_1,gemini-2.5-pro,Furniture Assembly,3,1,Level 1 (Scale 2),5,100.0,67.0,100.0,90.0
furniture_assembly_level_2,gemini-2.5-pro,Furniture Assembly,3,2,Level 2 (Scale 3),7,100.0,47.0,100.0,84.0
furniture_assembly_level_3,gemini-2.5-pro,Furniture Assembly,3,3,Level 3 (Scale 4),9,100.0,26.0,89.0,72.0
pipe_manifold_level_1,gemini-2.5-pro,Pipe Manifold,3,1,Level 1 (Scale 2),12,100.0,58.0,100.0,87.0
pipe_manifold_level_2,gemini-2.5-pro,Pipe Manifold,3,2,Level 2 (Scale 3),9,56.0,32.0,12.0,27.0
pipe_manifold_level_3,gemini-2.5-pro,Pipe Manifold,3,3,Level 3 (Scale 5),13,54.0,26.0,13.0,25.0
axle_bearing_level_1,gemini-2.5-pro,Axle Bearing,3,1,Level 1 (Scale 1),5,100.0,41.0,98.0,81.0
axle_bearing_level_2,gemini-2.5-pro,Axle Bearing,3,2,Level 2 (Scale 2),5,100.0,45.0,100.0,84.0
axle_bearing_level_3,gemini-2.5-pro,Axle Bearing,3,3,Level 3 (Scale 3),5,100.0,46.0,77.0,72.0
phyllotaxis_disc_level_1,gemini-2.5-pro,Phyllotaxis Disc,4,1,Level 1 (Scale 21),22,100.0,100.0,100.0,100.0
phyllotaxis_disc_level_2,gemini-2.5-pro,Phyllotaxis Disc,4,2,Level 2 (Scale 55),56,100.0,79.0,78.0,83.0
phyllotaxis_disc_level_3,gemini-2.5-pro,Phyllotaxis Disc,4,3,Level 3 (Scale 89),90,100.0,71.0,81.0,82.0
compound_eye_level_1,gemini-2.5-pro,Compound Eye,4,1,Level 1 (Scale 2),60,100.0,82.0,100.0,95.0
compound_eye_level_2,gemini-2.5-pro,Compound Eye,4,2,Level 2 (Scale 3),77,68.0,62.0,50.0,57.0
compound_eye_level_3,gemini-2.5-pro,Compound Eye,4,3,Level 3 (Scale 4),222,100.0,79.0,93.0,90.0
diatom_frustule_level_1,gemini-2.5-pro,Diatom Frustule,4,1,Level 1 (Scale 4),72,100.0,97.0,100.0,99.0
diatom_frustule_level_2,gemini-2.5-pro,Diatom Frustule,4,2,Level 2 (Scale 7),120,100.0,97.0,100.0,99.0
diatom_frustule_level_3,gemini-2.5-pro,Diatom Frustule,4,3,Level 3 (Scale 10),168,100.0,97.0,100.0,99.0
honeycomb_lattice_level_1,gemini-2.5-pro,Honeycomb Lattice,4,1,Level 1 (Scale 1),41,100.0,100.0,100.0,100.0
honeycomb_lattice_level_2,gemini-2.5-pro,Honeycomb Lattice,4,2,Level 2 (Scale 2),107,100.0,81.0,88.0,88.0
honeycomb_lattice_level_3,gemini-2.5-pro,Honeycomb Lattice,4,3,Level 3 (Scale 3),209,100.0,74.0,86.0,85.0
armillary_sphere_level_1,gemini-2.5-pro,Armillary Sphere,3,1,Level 1 (Scale 2),20,100.0,100.0,100.0,100.0
armillary_sphere_level_2,gemini-2.5-pro,Armillary Sphere,3,2,Level 2 (Scale 3),36,100.0,100.0,100.0,100.0
armillary_sphere_level_3,gemini-2.5-pro,Armillary Sphere,3,3,Level 3 (Scale 4),52,100.0,100.0,100.0,100.0
vertebral_column_level_1,gemini-2.5-pro,Vertebral Column,4,1,Level 1 (Scale 7),40,100.0,74.0,100.0,92.0
vertebral_column_level_2,gemini-2.5-pro,Vertebral Column,4,2,Level 2 (Scale 12),70,100.0,67.0,99.0,90.0
vertebral_column_level_3,gemini-2.5-pro,Vertebral Column,4,3,Level 3 (Scale 19),112,100.0,75.0,92.0,88.0
flanged_pipe_joint_level_1,gemini-2.5-pro,Flanged Pipe Joint,1,1,Level 1 (Scale 4),12,100.0,84.0,89.0,87.0
flanged_pipe_joint_level_2,gemini-2.5-pro,Flanged Pipe Joint,1,2,Level 2 (Scale 8),12,60.0,60.0,29.0,35.0
flanged_pipe_joint_level_3,gemini-2.5-pro,Flanged Pipe Joint,1,3,Level 3 (Scale 16),36,100.0,80.0,99.0,92.0
ball_bearing_assembly_level_1,gemini-2.5-pro,Ball Bearing Assembly,2,1,Level 1 (Scale 6),8,100.0,100.0,100.0,100.0
ball_bearing_assembly_level_2,gemini-2.5-pro,Ball Bearing Assembly,2,2,Level 2 (Scale 12),14,100.0,100.0,100.0,100.0
ball_bearing_assembly_level_3,gemini-2.5-pro,Ball Bearing Assembly,2,3,Level 3 (Scale 20),22,100.0,100.0,100.0,100.0
clock_tower_mechanism_level_1,gemini-2.5-pro,Clock Tower Mechanism,3,1,Level 1 (Scale 4),12,100.0,96.0,100.0,98.0
clock_tower_mechanism_level_2,gemini-2.5-pro,Clock Tower Mechanism,3,2,Level 2 (Scale 12),18,90.0,88.0,79.0,80.0
clock_tower_mechanism_level_3,gemini-2.5-pro,Clock Tower Mechanism,3,3,Level 3 (Scale 24),32,100.0,50.0,60.0,57.0
gantry_crane_assembly_level_1,gemini-2.5-pro,Gantry Crane Assembly,3,1,Level 1 (Scale 2),17,100.0,66.0,84.0,77.0
gantry_crane_assembly_level_2,gemini-2.5-pro,Gantry Crane Assembly,3,2,Level 2 (Scale 4),24,96.0,71.0,81.0,76.0
gantry_crane_assembly_level_3,gemini-2.5-pro,Gantry Crane Assembly,3,3,Level 3 (Scale 6),16,48.0,3.0,0.0,0.0
cochlear_spiral_level_1,gemini-2.5-pro,Cochlear Spiral,4,1,Level 1 (Scale 12),28,100.0,99.0,100.0,100.0
cochlear_spiral_level_2,gemini-2.5-pro,Cochlear Spiral,4,2,Level 2 (Scale 24),28,54.0,49.0,25.0,28.0
cochlear_spiral_level_3,gemini-2.5-pro,Cochlear Spiral,4,3,Level 3 (Scale 36),40,53.0,49.0,24.0,28.0
radiolarian_skeleton_level_1,gemini-2.5-pro,Radiolarian Skeleton,4,1,Level 1 (Scale 1),43,78.0,77.0,57.0,60.0
radiolarian_skeleton_level_2,gemini-2.5-pro,Radiolarian Skeleton,4,2,Level 2 (Scale 2),43,21.0,17.0,3.0,6.0
radiolarian_skeleton_level_3,gemini-2.5-pro,Radiolarian Skeleton,4,3,Level 3 (Scale 3),298,37.0,26.0,11.0,13.0
spiral_staircase_level_1,deepseek-reasoner,Spiral Staircase,1,1,Level 1 (Scale 10),11,100.0,44.0,45.0,56.0
spiral_staircase_level_2,deepseek-reasoner,Spiral Staircase,1,2,Level 2 (Scale 24),24,96.0,96.0,71.0,84.0
spiral_staircase_level_3,deepseek-reasoner,Spiral Staircase,1,3,Level 3 (Scale 50),51,100.0,40.0,36.0,50.0
cannonball_pyramid_level_1,deepseek-reasoner,Cannonball Pyramid,1,1,Level 1 (Scale 3),10,100.0,100.0,100.0,100.0
cannonball_pyramid_level_2,deepseek-reasoner,Cannonball Pyramid,1,2,Level 2 (Scale 4),20,100.0,100.0,100.0,100.0
cannonball_pyramid_level_3,deepseek-reasoner,Cannonball Pyramid,1,3,Level 3 (Scale 5),35,100.0,100.0,100.0,100.0
voxel_grid_level_1,deepseek-reasoner,Voxel Grid,1,1,Level 1 (Scale 2),8,100.0,100.0,100.0,100.0
voxel_grid_level_2,deepseek-reasoner,Voxel Grid,1,2,Level 2 (Scale 3),27,100.0,100.0,100.0,100.0
voxel_grid_level_3,deepseek-reasoner,Voxel Grid,1,3,Level 3 (Scale 4),64,100.0,60.0,100.0,88.0
domino_ring_level_1,deepseek-reasoner,Domino Ring,1,1,Level 1 (Scale 5),15,100.0,75.0,100.0,92.0
domino_ring_level_2,deepseek-reasoner,Domino Ring,1,2,Level 2 (Scale 10),30,100.0,54.0,63.0,68.0
domino_ring_level_3,deepseek-reasoner,Domino Ring,1,3,Level 3 (Scale 20),60,100.0,64.0,81.0,80.0
dna_helix_level_1,deepseek-reasoner,DNA Helix,1,1,Level 1 (Scale 5),15,100.0,100.0,100.0,100.0
dna_helix_level_2,deepseek-reasoner,DNA Helix,1,2,Level 2 (Scale 10),20,67.0,67.0,41.0,54.0
dna_helix_level_3,deepseek-reasoner,DNA Helix,1,3,Level 3 (Scale 20),60,100.0,100.0,100.0,100.0
suspension_bridge_level_1,deepseek-reasoner,Suspension Bridge,2,1,Level 1 (Scale 5),11,85.0,84.0,79.0,82.0
suspension_bridge_level_2,deepseek-reasoner,Suspension Bridge,2,2,Level 2 (Scale 10),21,91.0,91.0,89.0,90.0
suspension_bridge_level_3,deepseek-reasoner,Suspension Bridge,2,3,Level 3 (Scale 20),41,95.0,95.0,95.0,95.0
planetary_array_level_1,deepseek-reasoner,Planetary Array,2,1,Level 1 (Scale 6),7,100.0,100.0,100.0,100.0
planetary_array_level_2,deepseek-reasoner,Planetary Array,2,2,Level 2 (Scale 12),13,100.0,100.0,100.0,100.0
planetary_array_level_3,deepseek-reasoner,Planetary Array,2,3,Level 3 (Scale 18),19,100.0,100.0,100.0,100.0
cross_braced_truss_level_1,deepseek-reasoner,Cross-Braced Truss,2,1,Level 1 (Scale 2),24,100.0,40.0,50.0,57.0
cross_braced_truss_level_2,deepseek-reasoner,Cross-Braced Truss,2,2,Level 2 (Scale 4),48,100.0,96.0,100.0,99.0
cross_braced_truss_level_3,deepseek-reasoner,Cross-Braced Truss,2,3,Level 3 (Scale 8),96,100.0,40.0,66.0,65.0
fractal_y_tree_level_1,deepseek-reasoner,Fractal Y-Tree,2,1,Level 1 (Scale 2),7,100.0,87.0,100.0,96.0
fractal_y_tree_level_2,deepseek-reasoner,Fractal Y-Tree,2,2,Level 2 (Scale 3),15,100.0,100.0,100.0,100.0
fractal_y_tree_level_3,deepseek-reasoner,Fractal Y-Tree,2,3,Level 3 (Scale 4),31,100.0,87.0,100.0,96.0
